,osd767_lfc,aph_lfc
Solyc01g007050,-1.74807881900699,0.2290753201103725
Solyc01g007060,-0.118673186990551,0.2154457181656328
Solyc01g007070,0.064132383863996,-0.0715251684552698
Solyc01g007100,-0.38089536931291,-0.1848653621663027
Solyc01g007110,0.155864687786282,0.0683856163958333
Solyc01g007120,0.0823035956921252,0.1709517775891867
Solyc01g007130,-0.091645698975162,0.0797851500458196
Solyc01g007140,0.0736761617756146,0.0637840346320995
Solyc01g007150,-0.0003495117133828,-0.1876056495309128
Solyc01g007170,0.12390835873744,0.2269994977152246
Solyc01g007180,-0.0399415525756799,0.200546769330546
Solyc01g007200,0.0892527318226669,0.8314543212701564
Solyc01g007220,-0.0030488922156185,-0.3750250339346067
Solyc01g007250,0.0434993816922328,0.2898565351405298
Solyc01g007260,0.555111163376139,0.5846686818547393
Solyc01g007750,-0.0046163715888518,0.0008330220812357
Solyc01g007760,0.0787920363085222,0.0626919933319999
Solyc01g007770,0.250572290691341,-0.5218852324279304
Solyc01g007780,-0.439591199686243,0.0377982761517422
Solyc01g007790,-0.042698358433853,0.1611014026692113
Solyc01g007800,0.114452224967126,0.4034159771188019
Solyc01g007810,0.0834490317310947,0.6097039526686165
Solyc01g007840,-0.0263653475828356,-0.0087558884802518
Solyc01g007850,-0.0674378272127635,-0.2613874744676686
Solyc01g007860,0.216673089612745,0.2152182000416024
Solyc01g007870,0.146856230874632,0.4013330905439735
Solyc01g007880,0.0409562989743863,-0.1289890784558686
Solyc01g007890,-0.0941537314972325,0.021064619510181
Solyc01g007910,0.0838406656565869,-0.0632599401592189
Solyc01g007920,-0.432613400103264,-0.0086890386884538
Solyc01g007930,-0.0279760367006516,0.045267864314373
Solyc01g007950,-0.326549196206956,0.2068831006874492
Solyc01g007960,-0.0202399307667156,-0.8920789386106206
Solyc01g008000,0.0605931199656664,0.0042419853706955
Solyc01g008010,-0.0840913846753153,0.0969577793972078
Solyc01g008020,-0.218341180472106,-0.009813057264359
Solyc01g008050,0.643071256491423,1.3098698251995635
Solyc01g008070,-0.0886588509286687,-0.141566031910723
Solyc01g008090,0.121442406316803,0.4636267141111396
Solyc01g008100,0.0459670909171762,0.1780890954661536
Solyc01g008110,0.38968147360237,0.1900791997971762
Solyc01g008120,0.135503761324653,-0.2100206136664748
Solyc01g008130,0.0688089027037737,-0.0077857978928181
Solyc01g008140,0.150929396615674,-0.2407807473767605
Solyc01g008160,0.0942300950842018,0.1802511910318621
Solyc01g008170,0.224990625383301,-0.0790627359309086
Solyc01g008180,-0.0620056005909475,0.091842658911692
Solyc01g008200,0.0070896657278412,0.1247300690809223
Solyc01g008220,0.309796256799018,-0.4873900374141158
Solyc01g008230,0.096786755848103,0.1080142442997787
Solyc01g008260,-0.140751596811923,0.1740190706228233
Solyc01g008270,0.160060011698535,0.0782595642235324
Solyc01g008290,0.0754455728409107,0.1816373481427362
Solyc01g008300,0.134798020546484,0.1834513792562928
Solyc01g008320,0.0326843560299437,-0.2689904212499904
Solyc01g008340,0.0319702457625626,0.0533647121283829
Solyc01g008360,0.0777247255018853,0.3560666819744719
Solyc01g008370,0.17776415726296,0.0886435669478145
Solyc01g008390,-0.0269281144868167,-0.6669113746847001
Solyc01g008400,0.0017040665600145,0.1088892399854145
Solyc01g008420,-0.379684043810296,0.3737699465026723
Solyc01g008440,-0.430655041976609,-0.0127325076987899
Solyc01g008460,0.108080727579222,0.0757289161976422
Solyc01g008470,-0.015882620094561,0.195289680134634
Solyc01g008480,0.0020976213681583,0.0474889626811159
Solyc01g008490,-0.153457408776924,0.0412105320614145
Solyc01g008500,-0.0250254243131542,-0.0418034487798913
Solyc01g008510,0.0284994329908725,-0.4602144352580414
Solyc01g008520,0.0276889999610607,-0.1001332280428468
Solyc01g008550,0.110938206315063,-0.0400172208671517
Solyc01g008560,0.153764835090992,-0.2345870223376949
Solyc01g008600,0.770227731398093,0.4239120606821255
Solyc01g008620,0.044682126046301,-2.569283609179648
Solyc01g008660,0.127834674192121,-0.098913687996633
Solyc01g008670,0.0909126034610219,-0.224388097643419
Solyc01g008730,0.0825544170297093,0.0315328828426571
Solyc01g008760,-0.192592177599054,0.0138518880995548
Solyc01g008770,0.0046880363807367,-0.1237216666210841
Solyc01g008780,-0.131639822981612,0.0707172792247631
Solyc01g008790,0.0262022945271973,-0.1316358205004759
Solyc01g008800,0.186995247763846,-0.5160534617599059
Solyc01g008820,0.0018412108476984,0.1330676838571286
Solyc01g008830,-0.0418969750414285,0.1980215475308866
Solyc01g008840,0.315410882259506,0.096331253807001
Solyc01g008890,-0.157808274089558,0.2191446971179573
Solyc01g008900,-0.0151261720044448,0.0496165127534264
Solyc01g008910,0.145409364927301,0.782025933222132
Solyc01g008930,0.0455864381223019,0.2407917420875959
Solyc01g008940,-0.185708949626399,0.2307854062610103
Solyc01g008960,0.0060451718963634,0.0066497940477452
Solyc01g008970,0.139177238979608,-0.0354245703431038
Solyc01g008990,0.0908992777375057,0.1466952319308073
Solyc01g009000,0.0423843207752622,0.0152471908263229
Solyc01g009010,0.0733629268578253,0.1230366936233636
Solyc01g009020,-0.175510180683629,0.154269099917907
Solyc01g009030,-0.0094924312529105,-0.1274826759478081
Solyc01g009050,-0.0617070259480341,-0.0886358621741214
Solyc01g009060,-0.0051443200146694,-0.0001767665129642
Solyc01g009070,-0.14632381654234,0.2576161033267602
Solyc01g009080,-0.2738177505367,0.2185201408699877
Solyc01g009090,-0.0230855804109033,0.0015577633236534
Solyc01g009100,0.109860398800055,0.346742017871685
Solyc01g009120,-0.317271666318316,-0.0528583879075029
Solyc01g009160,-0.643982618258172,-0.0076995053690097
Solyc01g009170,0.0169736328597285,-0.1759749534501085
Solyc01g009180,-0.0393806253486168,-0.0503469879393815
Solyc01g009220,-0.0164649638179401,0.498897822721281
Solyc01g009245,-0.0363381875273364,0.181147768268336
Solyc01g009260,0.0027761423424,0.0850893541691416
Solyc01g009280,-0.0599791678760068,-0.2502345335974877
Solyc01g009290,0.0150677100766195,0.0689964840616543
Solyc01g009300,-0.105657993039917,-0.3990732098486452
Solyc01g009310,-0.0531390766647875,-0.0304858052429579
Solyc01g009330,-0.0984984511426875,-0.3668013607623778
Solyc01g009340,0.147371945515275,0.9074290685372428
Solyc01g009380,-0.0281605602605265,0.0791709498415285
Solyc01g009390,0.0521693034823255,-0.1135327834016508
Solyc01g009420,0.135664974112863,-0.1727688059034172
Solyc01g009430,2.21883435501966,-0.3663847061166514
Solyc01g009500,-0.0362245456675901,-0.0514390714393107
Solyc01g009520,0.107351812366866,0.28314496907481
Solyc01g009565,0.141977342232181,0.3055507377661592
Solyc01g009610,0.11592562683617,0.13205344222784
Solyc01g009620,0.0272740843417785,0.1614759681232455
Solyc01g009630,-0.0805877966584446,0.2350331693728508
Solyc01g009670,0.0128841295998577,0.2988370638483668
Solyc01g009690,-0.043147614112659,-0.7500484991198064
Solyc01g009700,-0.466850215321054,-0.7250828633224953
Solyc01g009750,-0.0922509600123009,0.2237357189670999
Solyc01g009760,-0.0751902311117722,-0.0153588871497586
Solyc01g009770,0.0174219687559223,0.4993881133642482
Solyc01g009780,-0.208691898949336,-0.1403327003581953
